Date,Station Name ,Time Period,Avg Daily Entries
December 04,Metro Center,PM Peak (3pm-7pm),10.1K
June 5,Metro Center,PM Peak (3pm-7pm),9.7K
September 4,Metro Center,PM Peak (3pm-7pm),9.3K
March 6,Metro Center,PM Peak (3pm-7pm),9.2K
December 04,Farragut North,PM Peak (3pm-7pm),8.9K
December 04,Foggy Bottom-GWU,PM Peak (3pm-7pm),8.3K
September 4,Foggy Bottom-GWU,PM Peak (3pm-7pm),8.2K
June 5,Farragut North,PM Peak (3pm-7pm),8.2K
March 6,Farragut North,PM Peak (3pm-7pm),8.2K
September 4,Farragut North,PM Peak (3pm-7pm),8.1K
June 5,L'Enfant Plaza,PM Peak (3pm-7pm),7.9K
June 5,Farragut West,PM Peak (3pm-7pm),7.9K
March 6,Farragut West,PM Peak (3pm-7pm),7.9K
December 04,Farragut West,PM Peak (3pm-7pm),7.8K
March 6,Foggy Bottom-GWU,PM Peak (3pm-7pm),7.7K
September 4,Farragut West,PM Peak (3pm-7pm),7.5K
March 6,L'Enfant Plaza,PM Peak (3pm-7pm),7.2K
,,,
December 04,Gallery Place,PM Peak (3pm-7pm),7.1K
June 5,Foggy Bottom-GWU,PM Peak (3pm-7pm),7.1K
December 04,L'Enfant Plaza,PM Peak (3pm-7pm),7.0K
December 04,Union Station,PM Peak (3pm-7pm),6.7K
September 4,L'Enfant Plaza,PM Peak (3pm-7pm),6.6K
June 5,Fort Totten,AM Peak (Open-9:30am),6.6K
June 5,Gallery Place,PM Peak (3pm-7pm),6.5K
June 5,Union Station,PM Peak (3pm-7pm),6.4K
March 6,Union Station,PM Peak (3pm-7pm),6.3K
March 6,Gallery Place,PM Peak (3pm-7pm),6.3K
September 4,Gallery Place,PM Peak (3pm-7pm),6.1K
March 6,Gallery Place,Evening (7pm-12am),6.1K
December 04,Union Station,AM Peak (Open-9:30am),5.9K
September 4,Union Station,PM Peak (3pm-7pm),5.7K
June 5,Union Station,AM Peak (Open-9:30am),5.6K
December 04,Dupont Circle,PM Peak (3pm-7pm),5.3K
September 4,Union Station,AM Peak (Open-9:30am),5.3K
March 6,Union Station,AM Peak (Open-9:30am),5.3K
June 5,McPherson Sq,PM Peak (3pm-7pm),5.1K
December 04,Pentagon,PM Peak (3pm-7pm),4.9K
December 04,McPherson Sq,PM Peak (3pm-7pm),4.9K
March 6,Pentagon,PM Peak (3pm-7pm),4.9K
June 5,Shady Grove,AM Peak (Open-9:30am),4.8K
March 6,McPherson Sq,PM Peak (3pm-7pm),4.8K
September 4,Dupont Circle,PM Peak (3pm-7pm),4.7K
June 5,Dupont Circle,PM Peak (3pm-7pm),4.7K
March 6,Dupont Circle,PM Peak (3pm-7pm),4.7K
September 4,Pentagon,PM Peak (3pm-7pm),4.6K
September 4,McPherson Sq,PM Peak (3pm-7pm),4.6K
December 04,Shady Grove,AM Peak (Open-9:30am),4.5K
December 04,NoMa-Gallaudet U,PM Peak (3pm-7pm),4.5K
June 5,Pentagon,PM Peak (3pm-7pm),4.5K
June 5,Capitol South,PM Peak (3pm-7pm),4.5K
September 4,Shady Grove,AM Peak (Open-9:30am),4.3K
December 04,NoMa-Gallaudet U,AM Peak (Open-9:30am),4.2K
December 04,Gallery Place,Evening (7pm-12am),4.1K
June 5,NoMa-Gallaudet U,PM Peak (3pm-7pm),4.1K
June 5,NoMa-Gallaudet U,AM Peak (Open-9:30am),4.1K
June 5,Navy Yard-Ballpark,Evening (7pm-12am),4.1K
June 5,Navy Yard-Ballpark,PM Peak (3pm-7pm),4.1K
June 5,Federal Triangle,PM Peak (3pm-7pm),4.1K
March 6,Shady Grove,AM Peak (Open-9:30am),4.1K
March 6,NoMa-Gallaudet U,PM Peak (3pm-7pm),4.1K
September 4,NoMa-Gallaudet U,PM Peak (3pm-7pm),3.9K
September 4,NoMa-Gallaudet U,AM Peak (Open-9:30am),3.9K
December 04,Rosslyn,PM Peak (3pm-7pm),3.8K
March 6,NoMa-Gallaudet U,AM Peak (Open-9:30am),3.8K
March 6,Capitol South,PM Peak (3pm-7pm),3.8K
December 04,Federal Triangle,PM Peak (3pm-7pm),3.7K
September 4,Foggy Bottom-GWU,Evening (7pm-12am),3.7K
September 4,Rosslyn,PM Peak (3pm-7pm),3.7K
June 5,Rosslyn,PM Peak (3pm-7pm),3.7K
June 5,Archives,PM Peak (3pm-7pm),3.7K
December 04,Union Station,Midday (9:30am-3pm),3.6K
December 04,Navy Yard-Ballpark,PM Peak (3pm-7pm),3.6K
December 04,Metro Center,Evening (7pm-12am),3.6K
December 04,Archives,PM Peak (3pm-7pm),3.6K
September 4,Archives,PM Peak (3pm-7pm),3.6K
September 4,Fort Totten,AM Peak (Open-9:30am),3.6K
March 6,Federal Triangle,PM Peak (3pm-7pm),3.6K
March 6,Archives,PM Peak (3pm-7pm),3.6K
December 04,Fort Totten,AM Peak (Open-9:30am),3.5K
December 04,Columbia Heights,PM Peak (3pm-7pm),3.4K
September 4,Federal Triangle,PM Peak (3pm-7pm),3.4K
June 5,Smithsonian,PM Peak (3pm-7pm),3.4K
March 6,Rosslyn,PM Peak (3pm-7pm),3.4K
March 6,Fort Totten,AM Peak (Open-9:30am),3.4K
December 04,Capitol South,PM Peak (3pm-7pm),3.3K
September 4,Navy Yard-Ballpark,PM Peak (3pm-7pm),3.3K
June 5,Union Station,Midday (9:30am-3pm),3.3K
June 5,Fort Totten,Midday (9:30am-3pm),3.3K
March 6,Navy Yard-Ballpark,PM Peak (3pm-7pm),3.3K
March 6,Metro Center,Evening (7pm-12am),3.3K
September 4,Columbia Heights,PM Peak (3pm-7pm),3.2K
June 5,Metro Center,Evening (7pm-12am),3.2K
June 5,Gallery Place,Evening (7pm-12am),3.2K
March 6,Foggy Bottom-GWU,Evening (7pm-12am),3.2K
June 5,Columbia Heights,PM Peak (3pm-7pm),3.1K
March 6,Union Station,Midday (9:30am-3pm),3.1K
March 6,Columbia Heights,PM Peak (3pm-7pm),3.1K
December 04,Silver Spring,AM Peak (Open-9:30am),3.0K
December 04,Pentagon City,AM Peak (Open-9:30am),3.0K
December 04,Foggy Bottom-GWU,Evening (7pm-12am),3.0K
June 5,Metro Center,Midday (9:30am-3pm),3.0K
June 5,Ballston-MU,AM Peak (Open-9:30am),3.0K
March 6,Vienna,AM Peak (Open-9:30am),3.0K
March 6,Silver Spring,AM Peak (Open-9:30am),3.0K
December 04,Metro Center,Midday (9:30am-3pm),2.9K
December 04,Judiciary Square,PM Peak (3pm-7pm),2.9K
December 04,Foggy Bottom-GWU,Midday (9:30am-3pm),2.9K
December 04,Columbia Heights,AM Peak (Open-9:30am),2.9K
September 4,Judiciary Square,PM Peak (3pm-7pm),2.9K
September 4,Union Station,Midday (9:30am-3pm),2.9K
September 4,Foggy Bottom-GWU,Midday (9:30am-3pm),2.9K
September 4,Pentagon City,AM Peak (Open-9:30am),2.9K
September 4,Pentagon,AM Peak (Open-9:30am),2.9K
June 5,Vienna,AM Peak (Open-9:30am),2.9K
June 5,Pentagon City,AM Peak (Open-9:30am),2.9K
June 5,Pentagon,AM Peak (Open-9:30am),2.9K
June 5,Foggy Bottom-GWU,Midday (9:30am-3pm),2.9K
December 04,Vienna,AM Peak (Open-9:30am),2.8K
December 04,Pentagon City,PM Peak (3pm-7pm),2.8K
December 04,Pentagon,AM Peak (Open-9:30am),2.8K
December 04,Ballston-MU,AM Peak (Open-9:30am),2.8K
September 4,Vienna,AM Peak (Open-9:30am),2.8K
June 5,Judiciary Square,PM Peak (3pm-7pm),2.8K
June 5,Fort Totten,PM Peak (3pm-7pm),2.8K
June 5,Foggy Bottom-GWU,AM Peak (Open-9:30am),2.8K
June 5,Columbia Heights,AM Peak (Open-9:30am),2.8K
March 6,Smithsonian,PM Peak (3pm-7pm),2.8K
March 6,Pentagon City,AM Peak (Open-9:30am),2.8K
March 6,Judiciary Square,PM Peak (3pm-7pm),2.8K
March 6,Foggy Bottom-GWU,Midday (9:30am-3pm),2.8K
September 4,Gallery Place,Evening (7pm-12am),2.7K
September 4,Pentagon City,PM Peak (3pm-7pm),2.7K
September 4,Capitol South,PM Peak (3pm-7pm),2.7K
September 4,Ballston-MU,AM Peak (Open-9:30am),2.7K
June 5,L'Enfant Plaza,Midday (9:30am-3pm),2.7K
June 5,Huntington,AM Peak (Open-9:30am),2.7K
June 5,Dupont Circle,AM Peak (Open-9:30am),2.7K
March 6,Pentagon,AM Peak (Open-9:30am),2.7K
March 6,Columbia Heights,AM Peak (Open-9:30am),2.7K
March 6,Ballston-MU,AM Peak (Open-9:30am),2.7K
December 04,Huntington,AM Peak (Open-9:30am),2.6K
December 04,Gallery Place,Midday (9:30am-3pm),2.6K
December 04,Dupont Circle,AM Peak (Open-9:30am),2.6K
September 4,Huntington,AM Peak (Open-9:30am),2.6K
September 4,Columbia Heights,AM Peak (Open-9:30am),2.6K
June 5,Gallery Place,Midday (9:30am-3pm),2.6K
December 04,NoMa-Gallaudet U,Midday (9:30am-3pm),2.5K
December 04,Dupont Circle,Midday (9:30am-3pm),2.5K
September 4,Smithsonian,PM Peak (3pm-7pm),2.5K
September 4,Silver Spring,AM Peak (Open-9:30am),2.5K
June 5,Pentagon City,PM Peak (3pm-7pm),2.5K
June 5,New Carrollton,AM Peak (Open-9:30am),2.5K
March 6,Metro Center,Midday (9:30am-3pm),2.5K
March 6,Glenmont,AM Peak (Open-9:30am),2.5K
March 6,Franconia-Springfield,AM Peak (Open-9:30am),2.5K
March 6,Dupont Circle,AM Peak (Open-9:30am),2.5K
March 6,Crystal City,PM Peak (3pm-7pm),2.5K
December 04,New Carrollton,AM Peak (Open-9:30am),2.4K
December 04,Glenmont,AM Peak (Open-9:30am),2.4K
December 04,Dupont Circle,Evening (7pm-12am),2.4K
December 04,Crystal City,PM Peak (3pm-7pm),2.4K
September 4,Metro Center,Evening (7pm-12am),2.4K
September 4,Metro Center,Midday (9:30am-3pm),2.4K
September 4,New Carrollton,AM Peak (Open-9:30am),2.4K
June 5,NoMa-Gallaudet U,Midday (9:30am-3pm),2.4K
June 5,Greenbelt,AM Peak (Open-9:30am),2.4K
June 5,Federal Center SW,PM Peak (3pm-7pm),2.4K
June 5,Dupont Circle,Midday (9:30am-3pm),2.4K
June 5,Crystal City,PM Peak (3pm-7pm),2.4K
March 6,Huntington,AM Peak (Open-9:30am),2.4K
December 04,Navy Yard-Ballpark,AM Peak (Open-9:30am),2.3K
December 04,L'Enfant Plaza,Midday (9:30am-3pm),2.3K
December 04,Farragut North,Midday (9:30am-3pm),2.3K
December 04,Columbia Heights,Midday (9:30am-3pm),2.3K
December 04,Ballston-MU,PM Peak (3pm-7pm),2.3K
September 4,NoMa-Gallaudet U,Midday (9:30am-3pm),2.3K
September 4,Gallery Place,Midday (9:30am-3pm),2.3K
June 5,Rosslyn,AM Peak (Open-9:30am),2.3K
June 5,Franconia-Springfield,AM Peak (Open-9:30am),2.3K
June 5,Foggy Bottom-GWU,Evening (7pm-12am),2.3K
June 5,Farragut West,Midday (9:30am-3pm),2.3K
June 5,Farragut North,Midday (9:30am-3pm),2.3K
June 5,Columbia Heights,Midday (9:30am-3pm),2.3K
March 6,Rosslyn,AM Peak (Open-9:30am),2.3K
March 6,Pentagon City,PM Peak (3pm-7pm),2.3K
March 6,Gallery Place,Midday (9:30am-3pm),2.3K
December 04,Union Station,Evening (7pm-12am),2.2K
December 04,Smithsonian,PM Peak (3pm-7pm),2.2K
December 04,Rosslyn,AM Peak (Open-9:30am),2.2K
December 04,Pentagon City,Midday (9:30am-3pm),2.2K
December 04,Medical Center,PM Peak (3pm-7pm),2.2K
December 04,Franconia-Springfield,AM Peak (Open-9:30am),2.2K
December 04,Federal Center SW,PM Peak (3pm-7pm),2.2K
December 04,Farragut North,Evening (7pm-12am),2.2K
December 04,Branch Ave,AM Peak (Open-9:30am),2.2K
September 4,Crystal City,PM Peak (3pm-7pm),2.2K
September 4,Pentagon City,Midday (9:30am-3pm),2.2K
September 4,Columbia Heights,Midday (9:30am-3pm),2.2K
September 4,Dupont Circle,AM Peak (Open-9:30am),2.2K
June 5,Navy Yard-Ballpark,AM Peak (Open-9:30am),2.2K
June 5,Medical Center,PM Peak (3pm-7pm),2.2K
June 5,Farragut North,Evening (7pm-12am),2.2K
June 5,Dupont Circle,Evening (7pm-12am),2.2K
March 6,NoMa-Gallaudet U,Midday (9:30am-3pm),2.2K
March 6,New Carrollton,AM Peak (Open-9:30am),2.2K
March 6,Dupont Circle,Midday (9:30am-3pm),2.2K
March 6,Crystal City,AM Peak (Open-9:30am),2.2K
December 04,Tenleytown-AU,PM Peak (3pm-7pm),2.1K
December 04,Takoma,AM Peak (Open-9:30am),2.1K
December 04,Rhode Island Ave,AM Peak (Open-9:30am),2.1K
December 04,Greenbelt,AM Peak (Open-9:30am),2.1K
December 04,Georgia Ave-Petworth,AM Peak (Open-9:30am),2.1K
December 04,Farragut West,Midday (9:30am-3pm),2.1K
December 04,Crystal City,AM Peak (Open-9:30am),2.1K
December 04,Court House,AM Peak (Open-9:30am),2.1K
December 04,Bethesda,PM Peak (3pm-7pm),2.1K
December 04,Bethesda,AM Peak (Open-9:30am),2.1K
September 4,Tenleytown-AU,PM Peak (3pm-7pm),2.1K
September 4,Medical Center,PM Peak (3pm-7pm),2.1K
September 4,L'Enfant Plaza,Midday (9:30am-3pm),2.1K
September 4,Farragut North,Midday (9:30am-3pm),2.1K
September 4,Dupont Circle,Midday (9:30am-3pm),2.1K
September 4,Rosslyn,AM Peak (Open-9:30am),2.1K
September 4,Rhode Island Ave,AM Peak (Open-9:30am),2.1K
September 4,Navy Yard-Ballpark,AM Peak (Open-9:30am),2.1K
September 4,Greenbelt,AM Peak (Open-9:30am),2.1K
September 4,Glenmont,AM Peak (Open-9:30am),2.1K
September 4,Franconia-Springfield,AM Peak (Open-9:30am),2.1K
September 4,Branch Ave,AM Peak (Open-9:30am),2.1K
June 5,Union Station,Evening (7pm-12am),2.1K
June 5,Pentagon City,Midday (9:30am-3pm),2.1K
June 5,Georgia Ave-Petworth,AM Peak (Open-9:30am),2.1K
June 5,Court House,AM Peak (Open-9:30am),2.1K
June 5,Branch Ave,AM Peak (Open-9:30am),2.1K
June 5,Bethesda,PM Peak (3pm-7pm),2.1K
June 5,Bethesda,AM Peak (Open-9:30am),2.1K
June 5,Ballston-MU,PM Peak (3pm-7pm),2.1K
March 6,Navy Yard-Ballpark,AM Peak (Open-9:30am),2.1K
March 6,L'Enfant Plaza,Midday (9:30am-3pm),2.1K
March 6,Federal Center SW,PM Peak (3pm-7pm),2.1K
March 6,Farragut North,Evening (7pm-12am),2.1K
March 6,Court House,AM Peak (Open-9:30am),2.1K
March 6,Columbia Heights,Midday (9:30am-3pm),2.1K
March 6,Branch Ave,AM Peak (Open-9:30am),2.1K
December 04,Ronald Reagan Washington National Airport,Midday (9:30am-3pm),2.0K
September 4,Dupont Circle,Evening (7pm-12am),2.0K
September 4,Bethesda,PM Peak (3pm-7pm),2.0K
September 4,Ballston-MU,PM Peak (3pm-7pm),2.0K
September 4,Farragut West,Midday (9:30am-3pm),2.0K
September 4,Takoma,AM Peak (Open-9:30am),2.0K
September 4,Court House,AM Peak (Open-9:30am),2.0K
June 5,Rhode Island Ave,AM Peak (Open-9:30am),2.0K
June 5,Pentagon,Midday (9:30am-3pm),2.0K
June 5,Grosvenor-Strathmore,AM Peak (Open-9:30am),2.0K
June 5,Crystal City,AM Peak (Open-9:30am),2.0K
March 6,Tenleytown-AU,PM Peak (3pm-7pm),2.0K
March 6,Takoma,AM Peak (Open-9:30am),2.0K
March 6,Pentagon City,Midday (9:30am-3pm),2.0K
March 6,Medical Center,PM Peak (3pm-7pm),2.0K
March 6,Farragut West,Midday (9:30am-3pm),2.0K
March 6,Farragut North,Midday (9:30am-3pm),2.0K
March 6,Dupont Circle,Evening (7pm-12am),2.0K
March 6,Bethesda,AM Peak (Open-9:30am),2.0K
March 6,Ballston-MU,PM Peak (3pm-7pm),2.0K
December 04,Rosslyn,Midday (9:30am-3pm),1.9K
December 04,Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.9K
December 04,Fort Totten,PM Peak (3pm-7pm),1.9K
December 04,Fort Totten,Midday (9:30am-3pm),1.9K
September 4,Farragut North,Evening (7pm-12am),1.9K
September 4,Fort Totten,Midday (9:30am-3pm),1.9K
September 4,Georgia Ave-Petworth,AM Peak (Open-9:30am),1.9K
September 4,Bethesda,AM Peak (Open-9:30am),1.9K
June 5,Southern Ave,AM Peak (Open-9:30am),1.9K
June 5,Rosslyn,Midday (9:30am-3pm),1.9K
June 5,Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.9K
June 5,Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.9K
June 5,East Falls Church,AM Peak (Open-9:30am),1.9K
June 5,Brookland-CUA,AM Peak (Open-9:30am),1.9K
March 6,Union Station,Evening (7pm-12am),1.9K
March 6,Rhode Island Ave,AM Peak (Open-9:30am),1.9K
March 6,Greenbelt,AM Peak (Open-9:30am),1.9K
March 6,Georgia Ave-Petworth,AM Peak (Open-9:30am),1.9K
March 6,Bethesda,PM Peak (3pm-7pm),1.9K
December 04,Pentagon,Midday (9:30am-3pm),1.8K
December 04,Grosvenor-Strathmore,AM Peak (Open-9:30am),1.8K
December 04,Farragut West,Evening (7pm-12am),1.8K
December 04,East Falls Church,AM Peak (Open-9:30am),1.8K
